collection [http://www.w3.org/2004/02/skos/core#definition];name [http://www.w3.org/2004/02/skos/core#narrower];definition [Entity];description [http://www.w3.org/2004/02/skos/core#broader];http://www.w3.org/2004/02/skos/core#prefLabel;http://www.w3.org/2004/02/skos/core#note
'http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure';'BlkDensF_fe-co-od';http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-od;'Fine earth. Core sampling (pF rings), at oven dry, corrected for coarse fragments if any';"'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'	'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'";'BlkDensF_fe-co-od'
'http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure';'BlkDensF_fe-co-unkn';http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn;'Fine earth. Core sampling (pF rings), at unknown humidity, corrected for coarse fragments if any';"'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'	'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'";'BlkDensF_fe-co-unk'
'http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure';'BlkDensF_fe-rpl-unkn';http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn;'Fine earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, corrected for coarse fragments if any';"'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'	'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'";'BlkDensF_fe-rpl-unk'
'http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure';'BlkDensF_fe-unkn';http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn;'Fine earth. Type of sample unknown, at unknown humidity, corrected for coarse fragments if any';"'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'	'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'";'BlkDensF_fe-unk'
'http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure';'BlkDensF_fe-unkn-fc';http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc;'Fine earth. Type of sample unknown, at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any';"'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'	'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'";'BlkDensF_fe-unkn-fc'
'http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure';'BlkDensF_fe-unkn-od';http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od;'Fine earth. Type of sample unknown, at oven dry, corrected for coarse fragments if any';"'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'	'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'";'BlkDensF_fe-unkn-od'
'http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure';'BlkDensW_we-cl-fc';http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc;'Whole earth. Clod samples (natural clods), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), not corrected for coarse fragments if any';"'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'	'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'";'BlkDensW_we-cl-fc'
'http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure';'BlkDensW_we-cl-od';http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od;'Whole earth. Clod samples (natural clods), at oven dry, not corrected for coarse fragments if any';"'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'	'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'";'BlkDensW_we-cl-od'
'http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure';'BlkDensW_we-cl-unkn';http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn;'Whole earth. Clod samples (natural clods), at unknown humidity, not corrected for coarse fragments if any';"'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'	'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'";'BlkDensW_we-cl-unk'
'http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure';'BlkDensW_we-co-fc';http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc;'Whole earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), not corrected for coarse fragments if any';"'Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.'	'https://www.isric.org/sites/default/files/isric_report_2014_01.pdf'";'BlkDensW_we-co-fc'
